iter	Passed	Remaining
0	1	175
1	2	124
2	3	109
3	3	95
4	4	90
5	5	88
6	6	84
7	7	86
8	8	83
9	9	82
10	9	80
11	11	81
12	12	84
13	14	86
14	15	88
15	16	87
16	17	85
17	18	83
18	18	80
19	19	79
20	20	77
21	21	76
22	22	74
23	23	73
24	24	72
25	25	71
26	25	70
27	26	68
28	27	66
29	27	65
30	28	63
31	29	62
32	30	61
33	30	59
34	31	58
35	32	57
36	32	55
37	33	54
38	34	53
39	34	52
40	35	50
41	35	49
42	36	47
43	37	47
44	37	46
45	38	45
46	39	44
47	39	43
48	40	42
49	40	40
50	41	39
51	42	38
52	42	37
53	43	36
54	43	35
55	44	34
56	44	33
57	45	32
58	46	31
59	46	31
60	47	30
61	47	29
62	48	28
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	67	3
95	68	2
96	69	2
97	70	1
98	70	0
99	71	0
